p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.2484308133670516e-7,2.8477396983286556,0.293,0.137,0.004569381620004745,4,IPMK
1.3660045665537317e-7,2.1179207828298336,0.444,0.299,0.004999713314043313,4,SETD2
1.3837542572554508e-7,2.524631902058633,0.475,0.363,0.005064678956980676,4,BBX
1.4632022224897558e-7,2.55917763750686,0.323,0.165,0.005355466454534755,4,FBXO11
1.5539754790572476e-7,2.4328652384243954,0.434,0.297,0.005687705650897432,4,UBE2E2
1.6814832967299016e-7,2.7505594398409636,0.313,0.156,0.006154397014361113,4,DIP2B
1.7198759916305836e-7,1.8943191533439032,0.505,0.412,0.006294918116967099,4,GPBP1
1.732894923901532e-7,2.1142247828668745,0.444,0.311,0.006342568710971997,4,QKI
1.7359719326107038e-7,2.4346378240975035,0.323,0.167,0.006353830870548437,4,AP1G1
1.8719637691566932e-7,2.14054211423586,0.535,0.478,0.006851574591490412,4,GLS
1.8918001696285907e-7,2.5725940862056067,0.333,0.179,0.006924177800857605,4,FAM214A
1.914198608574891e-7,1.4560180622237182,0.636,0.672,0.007006158327244958,4,RASGEF1B
2.132162708734298e-7,2.448139387405354,0.354,0.196,0.007803928730238404,4,PIK3R5
2.1334898956734682e-7,2.593992990257085,0.293,0.14,0.007808786367154461,4,RAF1
2.1442260081152108e-7,1.9786732931084154,0.505,0.408,0.007848081612302483,4,CTNNB1
2.2326503734754957e-7,2.402566680038595,0.455,0.336,0.008171723631957662,4,OSBPL8
2.6105908213663884e-7,1.9309929880704115,0.465,0.342,0.009555023465283119,4,PDE7A
2.648703167659682e-7,2.5688758965165044,0.354,0.202,0.009694518463951201,4,TNKS
2.738762880301679e-7,2.0332628148307275,0.475,0.362,0.010024146018192176,4,ILF3
2.9701417467254706e-7,2.405181078911723,0.293,0.141,0.010871015807189894,4,PTBP2
3.402947906423449e-7,2.3093660304943513,0.404,0.263,0.012455129632300466,4,PPP6R3
3.425538303456737e-7,1.9561322047887617,0.475,0.366,0.012537812744482003,4,OGA
3.4579691637092216e-7,2.404470179766897,0.333,0.181,0.012656512936092122,4,SNX25
3.4761924438775135e-7,2.049049554604953,0.364,0.21,0.012723211963836087,4,EP300
3.4953352896563616e-7,1.9015419165549259,0.465,0.336,0.01279327669367125,4,RABGEF1
3.672598440586977e-7,1.9637572051124086,0.535,0.476,0.013442077552392394,4,CHD1
3.776048187299703e-7,2.4943103183002497,0.404,0.26,0.013820713970335644,4,FAF1
3.9312445857093127e-7,2.3527621780689327,0.455,0.346,0.014388748308154656,4,YWHAE
4.0105274819104465e-7,1.6133400904073298,0.636,0.703,0.014678931636540426,4,DDX21
4.0199273962538957e-7,2.9371980731969667,0.343,0.189,0.014713336263028884,4,MAML2
4.143003767106683e-7,2.5739645394935176,0.263,0.117,0.01516380808798717,4,ANKRD28
4.386171036991985e-7,2.3503846735485485,0.414,0.276,0.016053824612494366,4,NFAT5
4.696161196437342e-7,2.741172190601252,0.354,0.203,0.017188419595080315,4,IMMP2L
4.7604933386759403e-7,2.2256124256246332,0.434,0.311,0.01742388166888781,4,RLF
4.891408251636708e-7,2.4313498721232008,0.404,0.264,0.017903043341815514,4,RICTOR
4.966483369212341e-7,2.304660973121525,0.455,0.34,0.01817782577965409,4,MTMR6
5.285524110251005e-7,2.0423890018165087,0.465,0.347,0.019345546795929702,4,RRAS2
5.453517137268287e-7,1.3842588189448775,0.636,0.715,0.019960418074115655,4,REL
5.739830327104358e-7,2.218722530220745,0.364,0.214,0.02100835298023466,4,CLASP2
5.79611445287975e-7,1.931774915677752,0.475,0.365,0.021214358508985176,4,LUC7L2
6.662129795277407e-7,2.6614179380103,0.354,0.211,0.02438406126369484,4,FAM102A
7.046522508774591e-7,1.8293121214610704,0.576,0.575,0.02579097703436588,4,GNG7
7.096157859781256e-7,2.392999679873968,0.343,0.195,0.025972647382585375,4,JARID2
7.148052952107285e-7,1.8692965069318759,0.495,0.39,0.026162588610007875,4,SLC38A1
7.192504735528976e-7,2.0092439368102246,0.495,0.413,0.026325286582509606,4,MAP4K4
7.263456487895591e-7,2.5003111430910576,0.374,0.231,0.026584977091346655,4,EXOC4
7.710513621034081e-7,2.2618403582490973,0.414,0.28,0.02822125090434684,4,PTK2B
8.59267432512811e-7,1.765045757959721,0.525,0.471,0.0314500472974014,4,LPP
8.908981005399722e-7,2.630670011058173,0.273,0.132,0.032607761377863524,4,ATAD2
9.12533182364726e-7,2.9364847199826754,0.283,0.138,0.03339962700773134,4,SIMC1
9.1479391979285e-7,1.8764030192582184,0.475,0.378,0.033482372258338104,4,SMG1
9.25728559594239e-7,2.1017975341191097,0.495,0.408,0.03388259100970874,4,PAX5
9.769113492286245e-7,1.9946885969224668,0.455,0.346,0.03575593229311688,4,GPATCH8
1.054250520153611e-6,2.6970208496742,0.273,0.13,0.038586623288142316,4,ARHGAP31
1.1292251752417257e-6,1.8210832634556715,0.414,0.283,0.0413307706390224,4,MAPK8IP3
1.1684958610471923e-6,2.3768772498332087,0.333,0.188,0.04276811701018828,4,ZNF335
1.2240274853926465e-6,2.7477508039958654,0.323,0.18,0.04480062999285626,4,SAMD8
1.293431188329353e-6,2.3709741164611664,0.303,0.158,0.047340874924042646,4,RBM5
1.318968140219687e-6,2.0322889851862884,0.434,0.311,0.04827555290018076,4,TLE4
1.3206253415194908e-6,2.1729212132760134,0.434,0.316,0.048336208124954885,4,RBM33
1.411491213931221e-6,2.5059351306967637,0.273,0.132,0.05166198992109662,4,MED13
1.4305897793652618e-6,1.9038674901314383,0.556,0.524,0.05236101651454795,4,ZBTB20
1.4449847096738904e-6,2.6958658571283856,0.283,0.143,0.05288788535877406,4,SLC25A26
1.5271537127426598e-6,2.36257861191623,0.495,0.424,0.05589535304009409,4,GNB1
1.6256459316294082e-6,2.372421515533102,0.354,0.21,0.05950026674356797,4,ANKRD17
1.647966980403413e-6,2.417182983979872,0.333,0.193,0.06031723944974532,4,RB1CC1
1.6550686646107055e-6,1.560050401824221,0.545,0.504,0.060577168193416436,4,AFF4
1.6946896886845861e-6,2.2083814730245632,0.364,0.225,0.062027337295544535,4,TTC7A
1.9517684255882972e-6,1.8653908289392371,0.535,0.476,0.07143667614495727,4,PARP14
2.0505985286550327e-6,2.3068517568146154,0.293,0.152,0.07505395674730285,4,NAA15
2.141268260846399e-6,2.0986636862486745,0.414,0.294,0.07837255961523905,4,STAG2
2.2121782093186557e-6,1.3069111637648099,0.677,0.773,0.08096793463927211,4,MBNL1
2.4338337347150856e-6,2.6768471024859948,0.293,0.156,0.08908074852430685,4,USP36
2.4475737101955047e-6,2.261016397234099,0.455,0.357,0.08958364536686567,4,CNOT2
2.9784581941048996e-6,2.328494573285107,0.364,0.23,0.10901454836243343,4,KDM2B
3.0029318442109175e-6,1.72895701288544,0.535,0.512,0.1099103084299638,4,ASXL1
3.1558519225969647e-6,2.5686848167631515,0.455,0.366,0.11550733621897151,4,CDK17
3.1786779444686546e-6,2.4709202835458672,0.333,0.199,0.11634279144549722,4,PPP1CB
3.2125027679638398e-6,2.275768579814602,0.283,0.147,0.1175808138102445,4,GAK
3.2237179138308515e-6,2.3333154205717683,0.354,0.218,0.11799129936412299,4,HDAC9
